month,pm25,year
4,8.415966386554622,2019
5,9.385656292286876,2019
6,13.685314685314683,2019
7,12.0328317373461,2019
8,9.76510989010989,2019
9,9.26542324246772,2019
10,9.625,2019
1,9.67381676074685,2020
2,9.58046703964972,2020
3,5.063355159178144,2020
4,5.568352974992814,2020
5,6.362969483568075,2020
6,6.750483317742439,2020
7,8.539670468948035,2020
8,20.53921011058452,2020
9,25.639517819706494,2020
1,19.82842415316642,2021
2,11.625170454545454,2021
3,5.0421953405017925,2021
4,6.7397238095238095,2021
5,6.275900795507721,2021
6,6.274294990723562,2021
7,8.531293225959262,2021
8,19.21557894736842,2021
9,15.786286509040332,2021
10,18.58691739732349,2021
11,22.19118539592224,2021
12,16.771046845124282,2021
1,23.750893148450245,2022
2,13.704501488095238,2022
3,6.174957670165933,2022
4,6.316224632610217,2022
5,6.700090786819099,2022
6,6.827763496143959,2022
7,8.432662403231236,2022
8,9.528674739320552,2022
9,10.712849200833912,2022
10,9.04688479890934,2022
11,18.488735658558973,2022
12,17.17559276366436,2022
