year,month,incident_count,pm25,Enrollment Month,enrollment,lnenrollment
2019,4,3,8.415966386554622,2019-04,11378198.0,16.247209626145185
2019,5,13,9.385656292286876,2019-05,11357031.0,16.24534758146414
2019,6,41,13.685314685314683,2019-06,11358916.0,16.24551354416905
2019,7,47,12.0328317373461,2019-07,11324535.0,16.242482168887754
2019,8,45,9.76510989010989,2019-08,11294600.0,16.2398352933572
2019,9,52,9.26542324246772,2019-09,11270336.0,16.237684699236137
2019,10,55,9.625,2019-10,11254439.0,16.236273186567143
2020,2,5,9.58046703964972,2020-02,11091570.0,16.221695918287672
2020,3,4,5.063355159178144,2020-03,11073882.0,16.22009992071861
2020,4,4,5.568352974992814,2020-04,11173608.0,16.229065126946807
2020,5,10,6.362969483568075,2020-05,11309614.0,16.24116371842059
2020,6,72,6.750483317742439,2020-06,11453845.0,16.253836039453944
2020,7,57,8.539670468948035,2020-07,11585294.0,16.26524709317011
2020,8,59,20.53921011058452,2020-08,11715387.0,16.276413663949466
2020,9,21,25.63951781970649,2020-09,11819704.0,16.285278527327478
2021,1,10,19.82842415316642,2021-01,12219131.0,16.318513396249454
2021,3,3,5.0421953405017925,2021-03,12371782.0,16.33092879219862
2021,4,10,6.7397238095238095,2021-04,12467012.0,16.33859667386776
2021,5,24,6.275900795507721,2021-05,12564836.0,16.34641267674572
2021,6,51,6.274294990723562,2021-06,12626725.0,16.351326157455535
2021,7,36,8.531293225959262,2021-07,12695994.0,16.35679706859848
2021,8,28,19.21557894736842,2021-08,12759281.0,16.361769486330928
2021,9,14,15.786286509040332,2021-09,12816248.0,16.36622429891454
2021,10,9,18.58691739732349,2021-10,12873427.0,16.37067582229285
2021,11,1,22.19118539592224,2021-11,12943074.0,16.37607137678442
2022,1,1,23.750893148450245,2022-01,13232736.0,16.398204317431492
2022,2,2,13.704501488095238,2022-02,13282825.0,16.40198240529323
2022,3,8,6.174957670165933,2022-03,13370350.0,16.408550126745958
2022,4,4,6.316224632610217,2022-04,13445613.0,16.414163439803072
2022,5,17,6.700090786819099,2022-05,13574717.0,16.42371957642148
2022,6,33,6.827763496143959,2022-06,13692880.0,16.43238654767413
2022,7,34,8.432662403231236,2022-07,13931657.0,16.44967429058414
2022,8,25,9.528674739320552,2022-08,14014132.0,16.45557680702053
2022,9,24,10.712849200833912,2022-09,14081474.0,16.460370590714817
2022,10,2,9.04688479890934,2022-10,14144890.0,16.464863986088062
